panel,dataset,axis,label,q10,q25,median,q75,q90,value,value_name,e25,e50,e75
A,arch1,G_3,arch1,0.6011625937,0.7733466616,0.900186089,0.9583048217,0.9819791044,1045,median cells,1.185207663,4.064580814,12.11576123
A,kaden25rpe1,G_3,kaden25rpe1,0.04530711105,0.08885643407,0.1545245124,0.2578049625,0.403022201,400,median cells,0.391747926,0.7710885785,1.584634308
A,replogle22rpe1,G_3,replogle22rpe1,0.1170827645,0.3712539146,0.6772448403,0.8328809078,0.9010520448,82,median cells,5.68050948,29.29943765,88.78624369
A_null,arch1,G_3,arch1,-0.06020174027,-0.03121466397,0.001695480029,0.03428896262,0.05532599749,477,cells per pseudo-perturbation,,,
A_null,kaden25rpe1,G_3,kaden25rpe1,-0.04041985137,-0.01496439491,-0.004337700995,0.01438073648,0.05197339359,400,cells per pseudo-perturbation,,,
A_null,replogle22rpe1,G_3,replogle22rpe1,-0.04854483041,-0.03223711031,-0.008938022689,0.03224285753,0.06205214603,82,cells per pseudo-perturbation,,,
B,arch1,G_ARC,all,0.9547268179,,0.97873327,,0.9607783116,150,n perturbations,,,
B,arch1,G_3,all,0.9539154298,,0.978472385,,0.960545523,150,n perturbations,,,
B,arch1,G_ARC,arc_targets,0.9076253195,,0.9559380631,,0.9208143849,13,n perturbations,,,
B,arch1,G_ARC,shared_arch1_kaden,0.958673384,,0.9806281613,,0.9641315973,39,n perturbations,,,
B,arch1,G_ARC,arc_matched,0.8943891481,,0.9478820727,,0.905849479,7,n perturbations,,,
B,kaden25rpe1,G_ARC,all,0.5959126804,,0.7631453375,,0.6326438607,1836,n perturbations,,,
B,kaden25rpe1,G_RPE,all,0.5250780143,,0.7087761443,,0.5659086118,1836,n perturbations,,,
B,kaden25rpe1,G_3,all,0.5254797775,,0.7088831409,,0.5667526526,1836,n perturbations,,,
B,kaden25rpe1,G_4CTX,all,0.4673629247,,0.6571546648,,0.5073762469,1836,n perturbations,,,
B,kaden25rpe1,G_ARC,arc_targets,0.2189412561,,0.4038633705,,0.2769627566,80,n perturbations,,,
B,kaden25rpe1,G_ARC,shared_arch1_kaden,0.3072062078,,0.5174513818,,0.3690564378,39,n perturbations,,,
B,kaden25rpe1,G_ARC,arc_matched,0.1482064012,,0.2995792049,,0.2023239501,7,n perturbations,,,
B,kaden25rpe1,G_RPE,shared_kaden_rpe1,0.3633511135,,0.5610163364,,0.4118873692,205,n perturbations,,,
B,replogle22rpe1,G_RPE,all,0.9883658961,,0.9946294768,,0.9897812619,2016,n perturbations,,,
B,replogle22rpe1,G_3,all,0.9878296871,,0.9943636248,,0.9893162279,2016,n perturbations,,,
B,replogle22rpe1,G_4CTX,all,0.9890758914,,0.9949384206,,0.9903885772,2016,n perturbations,,,
B,replogle22rpe1,G_RPE,shared_kaden_rpe1,0.9769631576,,0.9890146896,,0.9794201893,205,n perturbations,,,
B,replogle22rpe1,G_4CTX,shared_four_context,0.9906589138,,0.9957449201,,0.9919163104,1264,n perturbations,,,
B,replogle22k562,G_4CTX,all,0.9067973033,,0.9539517189,,0.915099402,1971,n perturbations,,,
B,replogle22k562,G_4CTX,shared_four_context,0.8911379025,,0.9455450061,,0.9002178174,1264,n perturbations,,,
B,nadig25hepg2,G_4CTX,all,0.946942904,,0.9740885003,,0.951986906,1818,n perturbations,,,
B,nadig25hepg2,G_4CTX,shared_four_context,0.9430651482,,0.9718429001,,0.947700873,1264,n perturbations,,,
B,nadig25jurkat,G_4CTX,all,0.9427999357,,0.9721453209,,0.9483873227,2137,n perturbations,,,
B,nadig25jurkat,G_4CTX,shared_four_context,0.9410601886,,0.9713214654,,0.9467607415,1264,n perturbations,,,
C,"arch1 vs Kaden, natural panels (frozen m_hat inputs)",G_ARC,all,,,0.09540448229,,,0.8642428661,noise ceiling,,0.08914867648,
C,"arch1 vs Kaden, Arc-target subsets",G_ARC,arc_targets,,,-0.006493214525,,,0.6213440014,noise ceiling,,-0.002292719372,
C,"arch1 vs Kaden, all shared perturbations",G_ARC,shared_arch1_kaden,,,0.01847914544,,,0.7123393834,noise ceiling,,0.0148115038,
C,"arch1 vs Kaden, matched Arc targets",G_ARC,arc_matched,,,0.02855527805,,,0.5328843755,noise ceiling,,0.02951854518,
