panel,group,quantity,stat,value
structure,real_control_reference,library_size,q10,8971.5
structure,real_control_reference,genes_detected,q10,2925.7
structure,real_control_reference,library_size,median,13534.5
structure,real_control_reference,genes_detected,median,3656
structure,real_control_reference,library_size,q90,20349.5
structure,real_control_reference,genes_detected,q90,4485.1
structure,real_control_reference,sparsity,mean,0.5710775429
structure,real_control_reference,heterogeneity,median,31.05242095
structure,real_perturbed,library_size,q10,7726.2
structure,real_perturbed,genes_detected,q10,2639
structure,real_perturbed,library_size,median,13133
structure,real_perturbed,genes_detected,median,3611
structure,real_perturbed,library_size,q90,20566
structure,real_perturbed,genes_detected,q90,4553
structure,real_perturbed,sparsity,mean,0.5793131855
structure,real_perturbed,heterogeneity,median,31.9329878
structure,G0_control_resample,library_size,q10,8998
structure,G0_control_resample,genes_detected,q10,2916
structure,G0_control_resample,library_size,median,13775
structure,G0_control_resample,genes_detected,median,3675
structure,G0_control_resample,library_size,q90,20432
structure,G0_control_resample,genes_detected,q90,4496
structure,G0_control_resample,sparsity,mean,0.5698672798
structure,G0_control_resample,heterogeneity,median,30.85403775
structure,G1_transport,library_size,q10,8995
structure,G1_transport,genes_detected,q10,2770
structure,G1_transport,library_size,median,13745
structure,G1_transport,genes_detected,median,3528
structure,G1_transport,library_size,q90,20321
structure,G1_transport,genes_detected,q90,4325
structure,G1_transport,sparsity,mean,0.5869230887
structure,G1_transport,heterogeneity,median,32.0579704
structure,G1_transport_unsmoothed,library_size,q10,8987
structure,G1_transport_unsmoothed,genes_detected,q10,2193
structure,G1_transport_unsmoothed,library_size,median,13778
structure,G1_transport_unsmoothed,genes_detected,median,2846
structure,G1_transport_unsmoothed,library_size,q90,20432
structure,G1_transport_unsmoothed,genes_detected,q90,3583
structure,G1_transport_unsmoothed,sparsity,mean,0.6653646317
structure,G1_transport_unsmoothed,heterogeneity,median,37.51227421
structure,G2_count_model,library_size,q10,8960
structure,G2_count_model,genes_detected,q10,2760
structure,G2_count_model,library_size,median,13736.5
structure,G2_count_model,genes_detected,median,3523
structure,G2_count_model,library_size,q90,20359.1
structure,G2_count_model,genes_detected,q90,4307
structure,G2_count_model,sparsity,mean,0.5882528864
structure,G2_count_model,heterogeneity,median,29.05954634
fidelity,G0_control_resample,mean_response,realised_norm,11.28504881
fidelity,G0_control_resample,mean_response,pearson_vs_own,
fidelity,G0_control_resample,mean_response,slope_vs_own,
fidelity,G0_control_resample,mean_response,own_intended_norm,0
fidelity,G1_transport,mean_response,realised_norm,23.30197796
fidelity,G1_transport,mean_response,pearson_vs_own,0.7810064064
fidelity,G1_transport,mean_response,slope_vs_own,0.9353850414
fidelity,G1_transport,mean_response,own_intended_norm,19.55342654
fidelity,G1_transport_unsmoothed,mean_response,realised_norm,34.48762916
fidelity,G1_transport_unsmoothed,mean_response,pearson_vs_own,0.711466404
fidelity,G1_transport_unsmoothed,mean_response,slope_vs_own,1.089099638
fidelity,G1_transport_unsmoothed,mean_response,own_intended_norm,19.55342654
fidelity,G2_count_model,mean_response,realised_norm,27.98348563
fidelity,G2_count_model,mean_response,pearson_vs_own,0.6956432015
fidelity,G2_count_model,mean_response,slope_vs_own,0.9649612216
fidelity,G2_count_model,mean_response,own_intended_norm,19.55342654
fidelity,G1_transport_tier0,mean_response,realised_norm,17.74341893
fidelity,G1_transport_tier0,mean_response,pearson_vs_own,0.5833122098
fidelity,G1_transport_tier0,mean_response,slope_vs_own,0.8441835483
fidelity,G1_transport_tier0,mean_response,own_intended_norm,12.64288526
