arc_target,support_tier,n_contexts_perturbed,datasets_perturbed,n_datasets_measured,datasets_measured,dataset_cells
ABCD1,0,0,,4,arch1|kaden25rpe1|nadig25hepg2|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
ACLY,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
ADNP,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
AGO1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
AKAP1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
AKIRIN1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
AKT2,1,1,arch1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
ALG12,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
ANKRD52,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
ANKZF1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
ANP32B,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
AP2A2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
API5,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
ARL14EP,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
ASCC2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
BCKDK,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
BCL6,1,1,kaden25rpe1,4,arch1|kaden25rpe1|nadig25hepg2|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
BCL7C,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
BRD1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
BRPF1,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
C5orf22,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
CAND1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
CAPRIN2,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
CARM1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
CAT,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
CCDC112,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
CDK8,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
CHD3,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
CHD6,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
CHKB,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
CLCN6,0,0,,6,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
COIL,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
COMMD8,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
COQ10B,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
CSNK2A1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
CYTH2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
DBF4B,0,0,,6,arch1|kaden25rpe1|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
DBN1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
DCAF16,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
DCP2,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
DDHD1,0,0,,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
DEAF1,1,1,kaden25rpe1,7,arch1|kaden25rpe1|nadig25hepg2|nadig25jurkat|replogle22k562|replogle22rpe1|wessels23,arch1=221273|kaden25rpe1=850225|nadig25hepg2=133757|nadig25jurkat=258202|replogle22k562=308646|replogle22rpe1=240774|wessels23=28490
